PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan,Induction_Power:
109.12,90.62,464.98,119,87,0.36,1,40%
109.72,91.36,459.64,120,87,0.35,1,40%
110.14,91.93,459.64,120,87,0.35,1,40%
110.5,92.5,451.71,121,87,0.36,1,40%
111.09,93.19,470.37,121,87,0.35,1,40%
111.6,93.8,464.98,121,87,0.36,1,40%
111.92,94.12,503.69,122,87,0.35,1,40%
112.37,94.81,492.4,122,87,0.35,1,40%
112.82,95.21,162.22,122,87,0.37,1,40%
113.11,95.8,486.82,123,86,0.35,1,40%
113.45,96.36,509.41,123,87,0.35,1,40%
113.96,96.87,512.28,123,87,0.36,1,40%
114.25,97.34,553.82,123,87,0.35,1,40%
114.66,97.77,532.76,124,87,0.34,1,40%
115.1,98.16,2951.76,124,87,0.37,1,40%
115.35,98.78,550.78,124,87,0.35,1,40%
115.82,98.94,556.88,125,87,0.35,1,40%
116.11,99.59,559.95,125,86,0.34,1,40%
116.36,100.09,550.78,125,87,0.36,1,40%
116.87,100.62,581.79,125,86,0.36,1,40%
117.19,100.99,647.62,126,87,0.36,1,40%
117.51,101.4,575.49,126,87,0.36,1,40%
117.96,101.89,614.07,126,87,0.36,1,40%
118.28,102.33,640.81,127,87,0.34,1,40%
118.67,103.07,2683.68,127,87,0.35,1,40%
118.86,103.17,614.07,127,87,0.36,1,40%
119.26,103.57,6.18,127,87,0.34,1,40%
119.46,103.97,877.32,128,87,0.33,1,40%
119.85,104.62,627.33,128,87,0.33,1,40%
120.12,104.72,640.81,128,87,0.35,1,40%
120.66,105.36,682.48,129,87,0.35,1,40%
120.66,105.43,654.49,129,87,0.36,1,40%
121.21,105.99,696.8,129,87,0.33,1,40%
121.21,106.06,718.68,130,87,0.38,1,40%
121.63,106.51,647.62,130,87,0.34,1,40%
121.7,106.61,62.62,130,87,0.34,1,40%
122.41,107.51,779.43,131,87,0.35,1,40%
122.8,107.85,192.44,131,87,0.36,1,40%
123.13,108.25,689.61,131,87,0.35,1,40%
123.35,108.25,24.68,131,87,0.36,1,40%
123.76,108.92,718.68,132,87,0.34,1,40%
123.99,109.25,756.23,132,87,0.34,1,40%
124.07,109.32,726.08,132,87,0.34,1,40%
124.88,109.78,771.64,132,87,0.35,1,40%
124.88,109.91,726.08,133,87,0.36,1,40%
125.23,110.27,894.45,133,87,0.36,1,40%
125.92,110.89,811.15,133,87,0.34,1,40%
126.17,111.09,835.53,134,86,0.35,1,40%
126,111.28,532.76,134,87,0.36,1,40%
126.67,111.67,811.15,134,87,0.34,1,40%
127.27,111.86,2951.76,135,87,0.35,1,40%
127.53,112.31,2255.54,135,87,0.35,1,40%
127.88,112.72,835.53,135,87,0.35,1,40%
128.06,112.88,835.53,135,87,0.34,1,40%
128.51,113.07,403.83,135,87,0.36,1,40%
128.65,113.45,835.53,136,87,0.36,1,40%
129.25,113.61,864.63,136,87,0.36,1,40%
129.35,114.02,847.92,136,87,0.35,1,40%
129.35,114.21,911.82,137,87,0.36,1,40%
130.31,114.59,890.15,137,87,0.36,1,40%
130.17,114.84,885.86,137,87,0.36,1,40%
130.81,115.1,903.1,137,87,0.35,1,40%
130.91,115.16,903.1,138,87,0.37,1,40%
131.42,115.41,903.1,138,87,0.37,1,40%
131.84,115.89,947.26,138,87,0.35,1,40%
132.21,116.2,1040.12,138,87,0.36,1,40%
132.48,116.36,907.45,139,87,0.36,1,40%
132.8,116.77,947.26,139,87,0.35,1,40%
133.64,117.16,894.45,139,87,0.36,1,40%
134.04,117.38,979.06,139,87,0.36,1,40%
134.44,117.76,974.47,139,87,0.38,1,40%
134.85,117.89,1040.12,140,87,0.37,1,40%
135.21,118.18,1064.3,140,87,0.34,1,40%
135.21,118.31,1069.19,140,87,0.37,1,40%
136.07,118.67,1030.56,141,87,0.34,1,40%
136.07,118.8,997.57,141,87,0.35,1,40%
137.08,119.36,1228.54,141,87,0.34,1,40%
137.21,119.32,1083.93,142,87,0.35,1,40%
137.8,119.52,1129.03,142,87,0.36,1,40%
138,119.79,303.77,142,87,0.35,1,40%
137.86,120.05,1069.19,142,87,0.36,1,40%
138.4,120.26,1098.82,143,87,0.34,1,40%
139.22,120.7,1044.92,143,87,0.36,1,40%
140.07,121.07,1069.19,143,87,0.35,1,40%
139.79,121.11,1118.9,143,87,0.36,1,40%
139.5,121.21,1129.03,143,87,0.35,1,40%
140.51,121.77,1129.03,144,87,0.36,1,40%
141.7,122.19,1191.19,144,86,0.37,1,40%
141.85,122.12,1191.19,144,87,0.35,1,40%
141.85,122.26,1180.67,144,86,0.38,1,40%
142,122.69,1113.85,145,87,0.37,1,40%
142.93,122.91,1223.15,145,86,0.36,1,40%
143.41,122.8,1233.94,145,87,0.36,1,40%
143.73,123.21,1233.94,145,86,0.36,1,40%
144.05,123.73,1223.15,146,87,0.36,1,40%
144.55,123.88,1277.75,146,87,0.37,1,40%
144.71,124.33,1255.71,146,87,0.35,1,40%
145.81,124.72,1207.1,146,87,0.36,1,40%
146.59,124.72,1129.03,147,87,0.36,1,40%
147.04,125.11,1311.32,147,87,0.36,1,40%
146.77,125.15,451.71,147,87,0.37,1,40%
148.03,125.84,1322.64,148,86,0.36,1,40%
148.4,125.84,1357.03,148,87,0.34,1,40%
